ClaimNumber,Reserve_Profile,ExposureYear,IncurredLoss,UltimateLoss,AssignedEarmarkedLoss,FinancePremium,LossType,ClaimStatus,ReportedDate,SettlementDate,Currency,GeographicalLocation
CLM000001,Commercial,2012,9583.95,64688.85,23518.65,426.83,Gross,Closed,2016-03-14,2018-07-23,AUD,London
CLM000002,Workers Comp,2024,54297.95,94369.91,42134.02,3294.77,Gross,Reopened,2014-05-30,2015-03-05,CAD,Chicago
CLM000003,Auto Liability,2024,91409.74,109411.41,6792.0,2010.01,Gross,Reopened,2013-11-19,2015-09-19,CAD,Chicago
CLM000004,Commercial,2024,39409.3,102218.18,9855.28,9329.09,Net,Reopened,2014-11-22,2015-09-21,EUR,Los Angeles
CLM000005,Commercial,2013,83127.02,71104.61,14480.7,6760.91,Net,Open,2022-01-17,,CAD,Los Angeles
CLM000006,Workers Comp,2016,14235.87,58796.88,62090.53,9137.9,Net,Reopened,2019-07-15,2019-11-03,CAD,Sydney
CLM000007,Auto Liability,2022,93604.05,57018.03,41351.66,9728.82,Net,Open,2015-02-21,,USD,London
CLM000008,Auto Liability,2012,75390.91,96367.27,1340.09,5071.56,Gross,Open,2017-12-17,,CAD,Toronto
CLM000009,Commercial,2024,94192.1,74724.36,54044.56,2496.33,Gross,Reopened,2011-01-15,2013-02-28,USD,Chicago
CLM000010,Homeowners,2018,67985.11,127520.7,34183.37,2098.54,Net,Closed,2019-01-14,2019-05-07,EUR,Toronto
CLM000011,Commercial,2017,36976.99,131330.6,41112.76,2384.6,Net,Closed,2011-11-25,2012-02-04,CAD,Sydney
CLM000012,Commercial,2013,93879.94,26413.5,17522.24,7144.21,Net,Open,2019-10-17,,AUD,Berlin
CLM000013,Commercial,2022,28281.11,21298.81,44366.69,596.37,Net,Open,2021-05-08,,CAD,Paris
CLM000014,Commercial,2010,33885.08,94929.74,78342.68,703.34,Gross,Open,2013-12-18,,USD,New York
CLM000015,Workers Comp,2010,70380.03,45882.64,6338.85,6159.8,Gross,Closed,2016-07-18,2017-09-07,AUD,Chicago
CLM000016,Auto Liability,2010,76766.31,3767.04,23071.43,6492.16,Gross,Open,2014-10-22,,EUR,Toronto
CLM000017,Workers Comp,2010,93010.94,133407.76,19818.31,6719.58,Net,Open,2018-06-12,,GBP,Paris
CLM000018,Workers Comp,2017,21275.44,34808.21,20259.67,3844.43,Net,Closed,2015-02-23,2015-12-15,GBP,Toronto
CLM000019,Workers Comp,2012,80001.81,139462.82,30607.16,8098.26,Net,Reopened,2017-09-10,2019-05-15,USD,London
CLM000020,Commercial,2024,74116.06,107897.73,65539.73,5429.52,Net,Closed,2012-04-27,2012-06-17,EUR,Toronto
CLM000021,Homeowners,2015,7315.66,114635.37,73072.27,1233.56,Gross,Reopened,2018-02-19,2019-05-01,EUR,Toronto
CLM000022,Auto Liability,2012,39335.09,31017.76,16576.1,8011.57,Gross,Reopened,2021-02-13,2021-05-29,CAD,New York
CLM000023,Homeowners,2020,28993.78,35894.97,43664.52,9540.06,Net,Open,2013-04-10,,GBP,Paris
CLM000024,Workers Comp,2014,31144.55,78668.9,51133.47,788.36,Gross,Open,2014-02-21,,CAD,London
CLM000025,Workers Comp,2022,98311.74,26642.88,41985.28,4035.24,Gross,Reopened,2020-09-07,2022-08-17,EUR,Paris
CLM000026,Homeowners,2024,64634.96,46509.32,35009.07,4977.66,Gross,Open,2024-12-31,,USD,Berlin
CLM000027,Homeowners,2023,72049.94,48897.91,15762.05,1635.41,Gross,Reopened,2019-02-03,2021-08-29,USD,Toronto
CLM000028,Homeowners,2022,97685.15,24784.86,39313.44,8703.55,Net,Open,2016-09-23,,AUD,Toronto
